instance dfasat dfainductor dfainductor2
20_1000_0 520.05 173.13 51.16
20_1000_1 1000 116.82 141.21
20_1000_10 1000 153.96 56.35
20_1000_100 513.05 176.55 47.18
20_1000_101 1000 189.98 176.13
20_1000_102 538.15 153.11 56.66
20_1000_104 556.77 151.32 53.15
20_1000_105 1000 184.9 154.83
20_1000_107 1000 133.48 81.59
20_1000_108 1000 184.69 114.85
20_1000_109 1000 181.58 150.58
20_1000_11 1000 168.08 90.72
20_1000_110 556.39 167.15 147.14
20_1000_111 523.18 159.34 36.88
20_1000_112 1000 200.42 50.85
20_1000_113 1000 148.91 137.48
20_1000_114 1000 173.94 135.38
20_1000_115 1000 220.97 228.43
20_1000_118 1000 168.91 157.59
20_1000_119 1000 153.26 106.02
20_1000_120 560.63 148.42 125.49
20_1000_121 461.91 134.1 51.72
20_1000_122 1000 149.1 150.48
20_1000_123 1000 170.98 67.83
20_1000_124 1000 158.71 182.11
20_1000_125 557.18 143.49 140.21
20_1000_128 1000 169.73 106.82
20_1000_129 1000 158.88 67.15
20_1000_15 487.75 138.12 51.48
20_1000_16 536.04 119.57 45.11
20_1000_17 1000 185.64 135.65
20_1000_20 1000 143.03 121.65
20_1000_21 420.86 158.21 49.54
20_1000_22 1000 152.78 163.02
20_1000_23 500.91 147.51 39.4
20_1000_24 1000 176.7 43.43
20_1000_25 567.31 155.24 136.16
20_1000_26 1000 165.28 138.49
20_1000_27 520.17 129.7 112.01
20_1000_28 1000 164.5 81.44
20_1000_29 1000 155.73 92.23
20_1000_3 473.84 154.34 38.94
20_1000_32 568.77 179.08 43.03
20_1000_33 1000 136.84 73.89
20_1000_34 1000 123.97 114.0
20_1000_35 1000 141.05 170.0
20_1000_36 1000 127.54 57.89
20_1000_37 1000 188.0 124.64
20_1000_38 587.86 173.41 85.35
20_1000_39 1000 139.01 154.36
20_1000_40 1000 135.91 51.55
20_1000_41 1000 178.49 55.4
20_1000_42 1000 160.85 37.07
20_1000_43 1000 166.71 50.41
20_1000_44 514.59 115.59 57.51
20_1000_45 515.71 154.07 101.16
20_1000_46 1000 150.63 134.48
20_1000_49 1000 112.72 87.35
20_1000_5 1000 166.8 168.6
20_1000_50 1000 146.7 111.03
20_1000_51 1000 112.2 34.7
20_1000_53 1000 155.65 114.49
20_1000_54 1000 146.23 59.01
20_1000_55 1000 139.31 117.28
20_1000_56 1000 116.09 102.87
20_1000_59 1000 164.51 162.25
20_1000_6 1000 143.96 48.98
20_1000_60 1000 115.84 157.02
20_1000_61 471.59 138.45 45.7
20_1000_63 1000 140.53 152.49
20_1000_64 1000 86.8 51.03
20_1000_66 502.08 124.97 75.39
20_1000_67 1000 90.51 58.39
20_1000_68 409.57 113.6 49.34
20_1000_69 1000 124.38 123.85
20_1000_7 1000 161.48 82.66
20_1000_70 1000 123.77 47.9
20_1000_71 1000 152.63 57.18
20_1000_72 1000 132.82 45.64
20_1000_73 1000 168.17 127.07
20_1000_75 564.42 136.52 33.3
20_1000_76 537.69 146.08 50.58
20_1000_77 531.89 108.04 44.7
20_1000_80 1000 155.1 116.22
20_1000_82 1000 143.97 38.85
20_1000_83 1000 116.15 51.39
20_1000_84 1000 142.22 45.67
20_1000_87 425.26 134.1 108.16
20_1000_88 1000 143.31 108.83
20_1000_89 1000 133.07 55.71
20_1000_9 586.67 157.11 111.23
20_1000_90 1000 123.2 54.92
20_1000_91 1000 135.59 161.04
20_1000_92 521.21 137.99 37.16
20_1000_93 1000 115.69 110.04
20_1000_94 1000 154.12 119.61
20_1000_95 1000 121.07 55.21
20_1000_97 1000 167.65 42.22
20_1000_98 1000 144.17 46.42
20_1000_99 1000 122.68 89.88
22_1100_0 1000 154.22 162.04
22_1100_100 1000 100.16 50.43
22_1100_101 1000 138.85 93.34
22_1100_102 1000 132.34 56.68
22_1100_103 429.24 140.47 76.38
22_1100_104 1000 170.88 60.37
22_1100_105 1000 118.8 120.46
22_1100_106 523.18 88.6 74.56
22_1100_107 1000 152.0 137.89
22_1100_108 1000 134.62 103.34
22_1100_111 1000 133.07 50.12
22_1100_112 1000 174.15 83.74
22_1100_113 1000 122.06 71.62
22_1100_114 1000 96.31 94.28
22_1100_116 1000 122.51 130.44
22_1100_117 1000 117.93 67.37
22_1100_118 1000 155.5 59.8
22_1100_119 486.86 142.83 78.29
22_1100_12 536.82 141.58 66.93
22_1100_120 1000 85.52 64.82
22_1100_122 1000 140.67 71.95
22_1100_123 1000 145.58 109.19
22_1100_125 589.12 155.78 97.97
22_1100_13 1000 169.97 119.99
22_1100_14 1000 104.86 68.76
22_1100_15 411.48 92.5 60.84
22_1100_18 386.63 106.14 83.12
22_1100_2 1000 113.74 153.65
22_1100_22 1000 112.67 146.66
22_1100_24 397.04 137.85 75.6
22_1100_25 1000 140.66 69.76
22_1100_27 461.5 113.72 55.1
22_1100_28 1000 161.32 78.86
22_1100_29 1000 98.64 75.19
22_1100_3 1000 101.29 83.84
22_1100_30 1000 152.24 115.96
22_1100_31 1000 142.33 181.38
22_1100_32 1000 138.57 92.57
22_1100_33 1000 107.54 100.91
22_1100_34 479.39 135.92 84.02
22_1100_35 1000 205.98 99.41
22_1100_36 398.88 162.9 65.43
22_1100_38 1000 139.61 64.78
22_1100_4 1000 173.54 89.18
22_1100_40 1000 137.52 57.29
22_1100_41 1000 166.63 98.66
22_1100_42 1000 194.4 64.77
22_1100_43 433.33 102.7 81.58
22_1100_44 491.99 108.68 101.05
22_1100_46 1000 106.13 99.05
22_1100_47 1000 116.74 80.34
22_1100_48 1000 164.24 85.72
22_1100_49 1000 99.37 78.93
22_1100_5 1000 178.03 89.48
22_1100_50 1000 113.97 139.09
22_1100_51 1000 111.62 116.92
22_1100_52 1000 179.16 90.92
22_1100_53 1000 131.01 105.27
22_1100_54 1000 145.69 79.15
22_1100_55 1000 186.03 153.16
22_1100_56 1000 148.78 96.62
22_1100_57 1000 143.84 87.91
22_1100_58 1000 146.45 98.6
22_1100_59 1000 105.29 154.15
22_1100_6 1000 164.97 72.89
22_1100_63 1000 167.84 96.23
22_1100_64 1000 199.08 113.57
22_1100_65 1000 201.38 91.11
22_1100_66 1000 137.48 96.48
22_1100_67 1000 150.86 99.83
22_1100_69 1000 147.13 106.22
22_1100_7 1000 114.39 170.26
22_1100_70 583.83 142.29 49.21
